Workstream ID,Workstream Title,Task ID,Task Title,Rationale,Deliverables,Acceptance Criteria,Priority,Phase,Missing Features,Dependencies,Risks/Mitigations,Unnamed: 12
Q,Production Features,Q2,LOD system implementation,Discrete and continuous LOD with imposters,Mesh simplification; LOD selection; imposter generation; streaming,50-90% triangle reduction; smooth transitions; <16ms LOD updates,High,Beyond MVP,No,"B12,O4",Popping artifacts → blend between LODs,
Q,Production Features,Q3,GPU profiling markers,Vendor tool integration for performance analysis,RenderDoc/NSight/RGP markers; timestamp queries; Python API,All major tools show markers; <1% overhead when enabled,High,Beyond MVP,No,"G3,G4",Tool version compatibility → test matrix,
Q,Production Features,Q4,Indirect draw support,GPU-driven rendering for massive batching,Indirect buffer generation; GPU culling; draw parameter computation,10× draw call reduction; works on 90% of target hardware,Low,Beyond MVP,No,"H17,C7",Limited support → feature detection and fallback,
R,Matplotlib & Array Interop,R1,Matplotlib colormap + Normalize support,Accept Matplotlib Colormap/Normalize objects to build LUTs and map data to [0,1] for terrain/overlays python/forge3d/adapters/mpl_cmap.py; support Colormap names/objects; Normalize/LogNorm/BoundaryNorm mapping; tests/test_mpl_cmap.py; docs/integration/matplotlib.md,"Given a test array, colors computed via adapter equal Matplotlib imshow (max abs channel diff ≤1/255); supports reversed colormaps (\*_r\""); API accepts `cmap` and `norm`""",High,MVP,Yes,B5;B2,API drift across Matplotlib versions → pin minimal version and unit-test names; color precision → compare in linear space,
R,Matplotlib & Array Interop,R2,Zero-copy NumPy ingestion (buffer protocol),Ingest C-contiguous float32/uint8 NumPy arrays without copying using buffer protocol/`__array_interface__`,python/forge3d/ingest/numpy_adapter.py; detection of C-contiguous arrays; fallback copy with warning; tests/test_numpy_zero_copy.py,"For C-contiguous arrays, `np.shares_memory(src, adapter.view)` is True and ingest time < 1 ms/MB; non-contiguous arrays trigger one-time copy with log",High,MVP,Yes,B1;B4,Unexpected copies → assert C-contig in hot paths and document; dtype mismatch → cast once on GPU upload,
R,Matplotlib & Array Interop,R3,Matplotlib normalization presets (Log/Power/Boundary),Parity with Matplotlib normalization classes to match common plotting workflows,Implement Normalize LogNorm PowerNorm BoundaryNorm equivalents; tests comparing normalized values to Matplotlib; docs,Normalized outputs for test vectors equal Matplotlib within 1e-7; boundary bin edges honored; clipping behavior matches,Medium,MVP,Yes,N1;B5,Numeric edge cases at 0 or negative values (LogNorm) → epsilon clamp and tests,
R,Matplotlib & Array Interop,R4,Matplotlib display helpers,Convenience to show forge3d RGBA buffers on Matplotlib axes with correct DPI/extent,python/forge3d/helpers/mpl_display.py; `imshow_rgba(axrgba        extent=None        dpi=None)`; docs; example notebook,Helper displays image with no aspect distortion; optional extent respected; example renders without errors,Low,Beyond MVP,Yes,B10;E1,Matplotlib backend variance → CI runs with Agg backend,
S,Raster IO & Streaming,S1,Rasterio windowed reads + block iterator,Stream DEM/imagery using rasterio windows and block_windows for large rasters,python/forge3d/adapters/rasterio_tiles.py; support read(window=Window(...) out_shape        resampling); iterator over blocks; example,"Given a large GeoTIFF, tiles are read without OOM; total pixel count read matches expected; resampling selectable",High,MVP,Yes,B1;B4,I/O bottlenecks → use rasterio block_windows and prefetch; verify alignment,
S,Raster IO & Streaming,S2,Nodata/mask → alpha propagation,Respect dataset nodata and masks by converting to alpha channel for overlays/terrain masking,Implement mask extraction via read_masks()/dataset.mask; integrate with RGBA; tests on datasets with nodata and alpha,Masked areas result in alpha=0; matches rasterio mask semantics; golden image tests,High,MVP,Yes,O1;B7,Differences between per-band and dataset masks → follow rasterio docs and add unit tests,
S,Raster IO & Streaming,S3,CRS normalization via WarpedVRT + pyproj,Normalize incoming rasters to a target grid/CRS using rasterio WarpedVRT and pyproj for transforms,python/forge3d/adapters/reproject.py; WarpedVRT wrapper; pyproj Transformer utilities; tests for EPSG:4326↔EPSG:3857,Reprojected window bounds/shape match expected; pixel center coordinate error < 0.5 pixel; performance within 50ms for 1024²,Medium,MVP,Yes,O1,Missing grid shift files → document PROJ data download; precision diffs → accept small tolerance,
S,Raster IO & Streaming,S4,xarray/rioxarray DataArray ingestion,Accept xarray.DataArray with rioxarray rio accessor,preserving CRS/transform and coords python/forge3d/ingest/xarray_adapter.py; support .rio.crs/.rio.transform; tests with sample DataArray; docs,DataArray with rio metadata ingests without copying; CRS preserved and logged; coordinates available for extents,High,MVP,Yes,B1;B4;O3,Inconsistent metadata → validate presence and raise clear error,
S,Raster IO & Streaming,S5,Dask-chunked raster ingestion,Support dask.array inputs to stream tiles lazily into GPU textures,python/forge3d/ingest/dask_adapter.py; chunk planning; backpressure; tests with synthetic dask arrays,Pipeline renders without materializing full array; memory remains under 1.5× tile size; chunks align with storage best practices,Medium,Beyond MVP,Yes,O1;O4,Chunk mismatch hurts performance → recommend chunk shapes per docs; add metrics,
S,Raster IO & Streaming,S6,Overview/LOD selection,Pick appropriate overview level based on viewport/resolution to reduce IO and improve speed,Implement overview selection using dataset.overviews(); tests measuring fewer bytes read when zoomed out,"When requesting 1/8 resolution, overview level chosen reduces bytes read by ≥60% vs full-res; visual SSIM≥0.99",Low,Beyond MVP,Yes,O1,Missing overviews → fall back to resampling; document trade-offs,
T,Vector IO & Geometry,T1,GeoDataFrame ingestion (points/lines/polygons),Load vector data from GeoPandas and map to forge3d primitives with style,python/forge3d/ingest/geopandas_adapter.py; geometry type routing; style schema (color width        height); tests,Example GeoDataFrame renders points/lines/polygons at expected locations; style parameters applied; CRS respected,High,MVP,Yes,D1;O3,Mixed geometry types and invalids → clean or skip with warnings; large features → simplify on ingest,
T,Vector IO & Geometry,T2,Fast vector I/O via pyogrio + bounding box filters,Speed up vector reads using pyogrio read_dataframe()/read_bounds with bbox/mask filters,python/forge3d/io/vector_io.py; bbox tiling; examples; benchmarks vs Fiona,Read time improves ≥2× vs Fiona on test dataset; bbox filtering reduces rows read by ≥80% when zoomed,Medium,MVP,Yes,P1,Driver/encoding quirks → fall back to Fiona; document limitations,
T,Vector IO & Geometry,T3,CRS transforms for vectors (pyproj),Transform vector coordinates to scene CRS using pyproj.Transformer,python/forge3d/geo/crs.py; caching of Transformer; tests EPSG:4326↔EPSG:3857 & UTM zones,Round-trip transforms within expected tolerance (<1e-6 degrees or <0.5m); performance benchmarked,High,MVP,Yes,P1;O3,Missing grid shift files → allow network-enabled PROJ or prompt user,
T,Vector IO & Geometry,T4,Polygon triangulation with holes (earcut),Triangulate polygons (with holes) from Shapely into meshes for extrusion/render,geometry/triangulate.rs using earcut; Python wrapper; tests with multipolygons and holes; docs,Polygons with holes render without self-intersections; triangle count consistent; golden images,High,MVP,Yes,P1,Complex rings ordering → validate outer/inner order; use robust earcut implementation,
T,Vector IO & Geometry,T5,Large vector batching & instancing,Batch draw of points/lines using instance buffers; chunk GeoDataFrame to keep memory bounded,Instancing path in renderer; python batching utilities; tests on 1M points synthetic dataset,1M points render within target frame time (<33ms) on mid-range GPU in headless mode; memory <1GB,Medium,Beyond MVP,Yes,P1,Upload stalls → stage in staging buffers and double-buffering; measure and tune,
U,Basemaps & Tiles,U1,XYZ/WMTS tile fetch + cache,Fetch web basemap tiles (Web Mercator) and cache locally; compose into texture for overlays,python/forge3d/tiles/client.py; cache dir; WMTS/XYZ support; attribution API; tests (mocked network),"Given a viewport, correct tile indices fetched and stitched; cache hits reduce network calls by ≥80% on repeat",Medium,Beyond MVP,Yes,O3;N4,Network variability → retries and offline cache; licensing → require attribution string,
U,Basemaps & Tiles,U2,Attribution overlay & extent management,Render required attribution text/logo and handle DPI/extent mapping for basemaps,Overlay renderer; position presets; tests ensuring visibility; docs on provider requirements,Attribution present in snapshot; position stable across resolutions; passes provider checklist,Low,Beyond MVP,Yes,Q1;N4,Provider policy changes → expose configurable templates,
U,Basemaps & Tiles,U3,Cartopy GeoAxes interop example,Example integrating forge3d snapshot/overlay with Cartopy GeoAxes and extents,examples/cartopy_overlay.py; docs/integration/cartopy.md,Example runs with Agg backend; GeoAxes shows correct extent and overlay alignment,Low,Beyond MVP,Yes,N4,Matplotlib backend differences → use Agg in CI,
V,Datashader Interop,V1,Datashader pipeline → RGBA overlay,Convert Datashader Canvas/shade outputs into forge3d overlay textures for large point/line rasters,python/forge3d/adapters/datashader_adapter.py; examples; tests on millions of points,Datashader RGBA arrays accepted without copy; overlay aligns with coordinates; example notebook renders,Medium,Beyond MVP,Yes,N2;O3,Coordinate mismatch → require extent inputs and validate; memory spikes → use dask-backed pipelines,
V,Datashader Interop,V2,Datashader performance stress & goldens,Set of stress tests + golden images to validate performance and correctness over zoom levels,tests/perf/test_datashader_zoom.py; goldens; CI job,SSIM≥0.98 across zooms; frame time within target; CI artifacts on regression,Low,Beyond MVP,Yes,R1;G7,Datashader version changes → pin and test against matrix,
W,Integration Docs & CI,W1,End-to-end notebooks for Python stack,Author notebooks demonstrating rasterio/xarray/geopandas/matplotlib/contextily/datashader → forge3d,notebooks/integration/*.ipynb; docs/integration/index.md; small sample datasets vendored or fetched in CI,All notebooks execute headless on CI (Agg); total runtime < 10 min; rendered PNGs uploaded as artifacts,Medium,MVP,Yes,E1;F3,Data access in CI → vendor tiny samples or mirror to public buckets with hashes,
W,Integration Docs & CI,W2,CI validation for I/O and CRS correctness,Automated tests for CRS transforms,windowed reads masks     and zero-copy paths        pytest suite under tests/integration; golden images; SSIM gates; memory ceilings,All tests green on Linux runner; SSIM thresholds met; memory below ceilings; logs include device+backend,High,MVP,Yes,O1;O2;O3;N2;P3,Backend variance → tolerate small SSIM drift; ensure deterministic seeds,
